run,time
QD_t1_q1024_e16_p70,519
MT_t4_q128_e0_p80,2171
QD_t2_q1024_e8_p80,877
QD_t4_q128_e16_p60,1885
QD_t1_q128_e16_p60,517
QD_t1_q512_e8_p70,557
QD_t8_q128_e8_p80,1638
QD_t4_q512_e8_p60,2010
QD_t2_q256_e8_p60,782
MT_t1_q256_e0_p60,414
QD_t8_q512_e2_p70,2512
QD_t2_q128_e8_p50,1002
QD_t8_q512_e16_p90,3947
QD_t8_q512_e2_p80,3557
QD_t8_q256_e4_p50,3739
QD_t4_q128_e2_p80,2121
QD_t2_q512_e2_p80,787
QD_t4_q256_e8_p60,1336
QD_t1_q256_e4_p70,518
MT_t2_q1024_e0_p80,1035
QD_t8_q1024_e2_p50,4274
QD_t1_q512_e16_p90,531
QD_t2_q512_e16_p80,799
QD_t2_q1024_e2_p60,826
QD_t2_q256_e4_p70,835
MT_t1_q128_e0_p70,403
QD_t1_q256_e16_p70,518
QD_t4_q256_e16_p90,1445
QD_t2_q256_e4_p60,796
QD_t2_q128_e8_p90,770
QD_t2_q1024_e2_p80,908
QD_t4_q1024_e2_p60,1776
QD_t1_q128_e4_p70,534
QD_t2_q256_e4_p80,791
QD_t2_q1024_e16_p80,1011
QD_t4_q256_e2_p90,1381
QD_t4_q512_e16_p70,1637
QD_t2_q128_e2_p80,857
QD_t8_q128_e8_p60,2101
QD_t4_q512_e8_p80,1688
QD_t1_q512_e4_p90,542
QD_t4_q256_e0_p50,3038
QD_t8_q512_e0_p90,3591
MT_t8_q256_e0_p70,9520
QD_t4_q1024_e0_p70,1721
QD_t1_q256_e2_p50,505
QD_t2_q128_e0_p70,869
MT_t4_q128_e0_p70,2038
QD_t1_q1024_e0_p80,717
QD_t4_q256_e4_p60,1415
QD_t2_q128_e0_p90,892
QD_t8_q128_e4_p50,2040
QD_t1_q512_e2_p50,530
QD_t8_q1024_e8_p60,4085
MT_t1_q128_e0_p50,426
QD_t1_q128_e2_p80,536
QD_t4_q256_e0_p70,1731
QD_t2_q512_e4_p60,767
QD_t8_q128_e16_p70,2078
MT_t1_q512_e0_p50,388
QD_t1_q128_e8_p50,516
QD_t1_q512_e16_p70,522
QD_t4_q128_e2_p50,1979
QD_t4_q128_e0_p90,1549
QD_t2_q1024_e16_p70,772
QD_t8_q256_e4_p90,2850
QD_t8_q1024_e4_p60,4129
QD_t8_q256_e16_p60,1766
QD_t4_q256_e16_p60,1409
QD_t8_q512_e8_p60,3751
QD_t1_q1024_e8_p90,528
QD_t8_q512_e0_p60,3873
QD_t2_q1024_e8_p70,1028
MT_t2_q256_e0_p50,856
QD_t8_q512_e16_p50,2203
MT_t1_q1024_e0_p60,404
QD_t4_q512_e2_p60,2104
QD_t1_q512_e8_p80,535
QD_t4_q512_e8_p50,1811
MT_t1_q256_e0_p50,383
QD_t1_q512_e2_p80,626
QD_t2_q512_e0_p90,938
QD_t8_q1024_e16_p70,4309
QD_t8_q512_e0_p50,3974
QD_t2_q512_e8_p60,790
QD_t8_q256_e4_p60,1715
QD_t1_q512_e0_p70,528
QD_t2_q512_e2_p70,1268
MT_t2_q128_e0_p60,876
QD_t8_q128_e2_p50,2050
QD_t8_q1024_e2_p60,4021
QD_t2_q512_e16_p50,1009
QD_t4_q512_e0_p70,1943
QD_t1_q1024_e4_p60,538
QD_t8_q1024_e4_p80,3062
QD_t4_q128_e2_p90,1806
QD_t2_q1024_e4_p70,778
QD_t4_q128_e16_p80,1120
QD_t4_q128_e4_p90,1710
QD_t2_q256_e2_p70,984
QD_t4_q128_e4_p70,1766
QD_t4_q128_e2_p70,1676
QD_t4_q256_e2_p60,1362
QD_t2_q128_e2_p50,1144
QD_t4_q1024_e4_p80,1806
MT_t8_q256_e0_p90,9816
QD_t1_q128_e16_p80,528
QD_t4_q1024_e4_p60,1645
MT_t8_q512_e0_p60,6452
QD_t1_q256_e0_p90,524
QD_t2_q512_e0_p70,834
QD_t8_q256_e0_p80,4266
QD_t1_q128_e8_p90,530
QD_t4_q128_e8_p80,1473
MT_t8_q1024_e0_p70,9451
QD_t2_q512_e4_p80,840
QD_t8_q128_e4_p60,2021
QD_t8_q1024_e0_p50,4129
MT_t2_q128_e0_p90,1157
QD_t4_q512_e4_p70,1646
QD_t1_q1024_e0_p60,525
QD_t4_q512_e0_p80,1692
QD_t1_q256_e8_p70,523
QD_t8_q128_e4_p90,1837
QD_t4_q1024_e2_p80,1801
MT_t1_q512_e0_p60,402
QD_t4_q256_e0_p80,1698
MT_t8_q128_e0_p90,10522
QD_t8_q128_e0_p90,4521
QD_t4_q256_e4_p80,2679
MT_t2_q256_e0_p90,1006
MT_t4_q512_e0_p70,1890
QD_t8_q256_e16_p90,3522
MT_t4_q128_e0_p90,5349
QD_t1_q128_e16_p70,514
QD_t4_q128_e16_p50,1963
QD_t2_q1024_e8_p90,766
QD_t8_q128_e8_p90,1909
MT_t4_q256_e0_p90,7787
QD_t2_q256_e8_p70,1011
QD_t8_q512_e8_p50,2573
QD_t1_q256_e2_p80,532
MT_t2_q512_e0_p70,905
MT_t4_q512_e0_p50,1813
MT_t1_q256_e0_p90,431
QD_t8_q512_e2_p60,3364
QD_t8_q512_e16_p60,4019
MT_t8_q128_e0_p50,6587
MT_t1_q1024_e0_p50,382
QD_t4_q256_e8_p70,1416
QD_t2_q128_e4_p50,740
QD_t4_q1024_e2_p90,1693
QD_t1_q256_e4_p60,521
QD_t2_q1024_e0_p80,863
QD_t2_q128_e8_p80,779
QD_t8_q256_e0_p90,4292
MT_t2_q1024_e0_p90,1084
QD_t2_q512_e16_p90,800
QD_t1_q512_e16_p80,536
QD_t4_q1024_e8_p80,1726
QD_t2_q128_e8_p60,869
QD_t8_q128_e2_p80,1897
QD_t2_q1024_e2_p70,1100
QD_t4_q256_e16_p80,2592
QD_t4_q512_e2_p80,1893
QD_t2_q256_e8_p80,910
QD_t2_q1024_e2_p90,783
QD_t4_q1024_e2_p70,1675
QD_t2_q256_e16_p70,780
QD_t1_q1024_e4_p50,521
QD_t1_q128_e4_p60,521
QD_t2_q256_e4_p90,820
MT_t8_q512_e0_p50,6593
QD_t2_q1024_e4_p80,843
QD_t8_q128_e8_p70,2034
QD_t4_q512_e2_p90,1706
QD_t4_q1024_e16_p70,1621
QD_t2_q256_e2_p80,800
QD_t8_q128_e16_p60,2112
QD_t4_q1024_e0_p80,1773
QD_t4_q256_e4_p90,1435
QD_t8_q128_e0_p50,4344
QD_t4_q1024_e16_p90,1769
QD_t1_q1024_e2_p70,530
QD_t1_q256_e0_p70,526
QD_t2_q128_e2_p60,939
QD_t4_q256_e4_p70,1453
QD_t1_q512_e2_p60,526
QD_t2_q128_e2_p90,803
MT_t4_q1024_e0_p80,2253
QD_t1_q128_e2_p70,524
QD_t2_q512_e4_p50,1038
MT_t4_q256_e0_p50,1927
QD_t1_q512_e16_p60,515
QD_t4_q128_e8_p50,1966
QD_t8_q1024_e0_p80,4298
QD_t2_q1024_e16_p60,1012
QD_t1_q128_e4_p90,535
QD_t4_q512_e4_p80,1738
QD_t2_q128_e16_p60,787
QD_t8_q256_e8_p50,2858
QD_t8_q256_e16_p50,3793
QD_t8_q1024_e8_p80,3967
QD_t8_q1024_e4_p70,4049
MT_t4_q128_e0_p50,1769
QD_t1_q1024_e0_p50,512
QD_t4_q256_e16_p50,1367
QD_t1_q1024_e8_p80,551
QD_t4_q256_e0_p60,3009
QD_t8_q256_e2_p50,1784
QD_t8_q1024_e8_p70,4053
MT_t8_q128_e0_p70,9422
QD_t4_q512_e2_p70,1629
MT_t2_q256_e0_p60,905
MT_t1_q1024_e0_p90,462
QD_t1_q512_e8_p90,545
QD_t8_q512_e4_p70,3956
QD_t1_q512_e4_p50,506
QD_t8_q512_e2_p90,3753
QD_t2_q512_e0_p80,905
QD_t2_q128_e4_p80,799
MT_t1_q512_e0_p80,416
QD_t8_q256_e4_p70,2120
QD_t2_q512_e8_p50,743
MT_t4_q1024_e0_p70,2104
QD_t2_q512_e2_p60,760
MT_t2_q128_e0_p70,955
MT_t1_q128_e0_p90,464
QD_t8_q128_e2_p60,2131
QD_t8_q1024_e2_p70,4218
QD_t8_q1024_e16_p90,3614
QD_t2_q512_e16_p60,769
QD_t4_q512_e0_p60,3434
QD_t1_q1024_e4_p90,530
QD_t4_q128_e0_p50,1515
QD_t8_q256_e0_p50,4053
QD_t8_q1024_e4_p90,3592
QD_t8_q1024_e16_p60,4091
MT_t2_q1024_e0_p50,897
QD_t1_q128_e16_p90,535
MT_t2_q512_e0_p90,1076
QD_t1_q256_e4_p50,513
QD_t4_q128_e8_p90,1767
QD_t8_q256_e2_p80,1580
