run,time
QD_t1_q1024_e16_p70,525
QD_t4_q2048_e8_p90,1747
MT_t4_q128_e0_p80,2187
QD_t2_q1024_e8_p80,877
QD_t4_q128_e16_p60,1752
QD_t1_q128_e16_p60,506
QD_t1_q512_e8_p70,522
QD_t8_q128_e8_p80,1423
QD_t4_q512_e8_p60,1627
QD_t6_q512_e16_p80,3767
QD_t2_q256_e8_p60,1058
QD_t4_q2048_e0_p60,3535
MT_t1_q256_e0_p60,399
QD_t6_q2048_e4_p80,3363
QD_t8_q512_e2_p70,3898
QD_t2_q128_e8_p50,715
MT_t6_q1024_e0_p70,5039
QD_t6_q512_e16_p70,3386
QD_t6_q1024_e4_p80,3932
QD_t8_q512_e16_p90,2623
QD_t8_q512_e2_p80,3837
QD_t8_q256_e4_p50,3858
QD_t6_q1024_e8_p60,3443
QD_t4_q128_e2_p80,1637
QD_t2_q512_e2_p80,786
QD_t6_q256_e0_p60,3400
QD_t4_q256_e8_p60,2233
QD_t1_q256_e4_p70,520
MT_t6_q128_e0_p70,4152
QD_t6_q128_e4_p80,1720
MT_t2_q1024_e0_p80,1092
QD_t8_q1024_e2_p50,3318
QD_t2_q2048_e16_p50,787
QD_t1_q512_e16_p90,529
QD_t2_q512_e16_p80,786
QD_t6_q128_e0_p80,2717
QD_t2_q1024_e2_p60,780
QD_t4_q512_e2_p80,1581
MT_t1_q128_e0_p70,456
QD_t2_q2048_e2_p80,777
QD_t6_q128_e0_p70,2574
QD_t1_q256_e16_p70,518
QD_t4_q256_e16_p90,1552
QD_t8_q512_e0_p50,4065
QD_t1_q2048_e8_p80,745
QD_t2_q256_e4_p60,774
QD_t6_q256_e0_p70,3155
QD_t2_q512_e8_p60,786
QD_t2_q2048_e2_p60,758
QD_t2_q1024_e2_p80,866
QD_t4_q1024_e2_p60,1602
QD_t6_q128_e2_p60,1734
QD_t8_q128_e4_p70,2000
QD_t1_q128_e4_p70,516
QD_t2_q256_e4_p80,842
QD_t1_q2048_e8_p60,515
QD_t2_q2048_e2_p50,747
QD_t4_q256_e2_p90,1516
QD_t4_q512_e16_p70,3145
QD_t2_q128_e2_p80,940
QD_t6_q1024_e2_p50,3277
QD_t8_q128_e8_p60,2145
QD_t4_q512_e8_p80,1572
QD_t1_q512_e4_p90,537
QD_t4_q256_e0_p50,1529
QD_t8_q512_e0_p90,4185
MT_t8_q256_e0_p70,8920
QD_t4_q1024_e0_p70,1923
QD_t1_q2048_e2_p70,523
QD_t2_q128_e0_p70,833
MT_t4_q128_e0_p70,1911
QD_t6_q512_e0_p90,3647
QD_t1_q1024_e0_p80,549
QD_t6_q1024_e4_p70,3703
MT_t8_q2048_e0_p90,9150
QD_t6_q256_e8_p90,2736
QD_t8_q2048_e8_p50,3966
QD_t4_q256_e4_p60,2569
QD_t2_q128_e0_p90,840
QD_t8_q128_e4_p50,2023
MT_t4_q2048_e0_p90,5934
QD_t1_q512_e2_p50,515
QD_t6_q512_e2_p70,2424
QD_t8_q1024_e8_p60,4155
MT_t1_q128_e0_p50,412
QD_t6_q256_e4_p50,1552
QD_t1_q128_e2_p80,520
QD_t6_q512_e8_p70,3074
QD_t2_q2048_e4_p90,795
QD_t8_q2048_e16_p80,4129
QD_t8_q128_e16_p70,2057
QD_t6_q2048_e2_p80,3939
QD_t6_q2048_e8_p70,2702
QD_t1_q128_e8_p50,518
QD_t6_q512_e0_p70,3880
QD_t6_q1024_e2_p90,3567
QD_t1_q512_e16_p70,507
